Site,Date(UTC),Air Temp,Wind Speed,Min Temp,Max Temp,1Hr Precip,6Hr Precip,Rel Humidity,Wind Gust,Wind Direction,Weather,Pressure,Total Cloud,Visibility,Solar Rad,Sunshine,Snow Depth,Dew Point,OLE Temp
Loch Glascarnoch,01/09/2019 00:00,9.1,10,,,0.2,7,91,,280,Moderate shower,1004,3,18,,,,7.8,
Loch Glascarnoch,01/09/2019 01:00,9.3,13,,,0.2,,89,,270,Moderate shower,1004,1,10,0,0,,7.7,
Loch Glascarnoch,01/09/2019 02:00,9,15,,,3.6,,93,30,300,Moderate rain,1005,8,10,0,0,,8,
Loch Glascarnoch,01/09/2019 03:00,8.5,12,,,5,,95,,290,Moderate rain,1006,5,7,0,0,,7.8,
Loch Glascarnoch,01/09/2019 04:00,8.1,12,,,4.6,,95,,300,Moderate rain,1007,2,7,0,0,,7.4,
Loch Glascarnoch,01/09/2019 05:00,8.3,14,,,2,,94,,280,Rain,1007,5,6,0,0,,7.5,
Loch Glascarnoch,01/09/2019 06:00,8,21,7.9,,4.4,20,90,30,300,Moderate rain,1008,8,45,8,0,,6.5,
Loch Glascarnoch,01/09/2019 07:00,8.4,16,,,1.4,,90,30,290,Light shower,1009,8,45,63,0,,7,
Loch Glascarnoch,01/09/2019 08:00,8.5,12,,,0.2,,92,,280,Rain,1010,8,30,197,0,,7.3,
Loch Glascarnoch,01/09/2019 09:00,8.5,10,,,0.4,,89,,270,Rain,1011,1,40,392,0,,6.9,
Loch Glascarnoch,01/09/2019 10:00,10.2,13,,,0,,81,,300,Dry,1012,8,30,985,6,,7.1,
Loch Glascarnoch,01/09/2019 11:00,9.5,10,,,1.2,,79,,290,Light shower,1012,7,45,951,6,,6.2,
Loch Glascarnoch,01/09/2019 12:00,10.4,14,,,0,3,89,,310,Rain,1013,8,22,1102,0,,8.8,
Loch Glascarnoch,01/09/2019 13:00,9.5,15,,,1,,89,29,290,Moderate shower,1014,1,35,1315,6,,7.9,
Loch Glascarnoch,01/09/2019 14:00,10.5,15,,,0,,74,,260,Rain,1014,7,25,1468,18,,6.1,
Loch Glascarnoch,01/09/2019 15:00,9.8,13,,,0.6,,82,,310,Light shower,1015,8,26,1019,6,,7,
Loch Glascarnoch,01/09/2019 16:00,10,7,,,0,,77,,290,Rain,1015,6,50,1607,48,,6.3,
Loch Glascarnoch,01/09/2019 17:00,10.1,6,,,0,,76,,270,Rain,1015,6,50,604,6,,6.1,
Loch Glascarnoch,01/09/2019 18:00,9.2,10,,11.6,0,2,89,,290,Moderate shower,1015,7,30,308,0,,7.6,
Loch Glascarnoch,01/09/2019 19:00,7.7,5,,,0,,90,,310,Rain,1016,4,50,211,6,,6.3,
Loch Glascarnoch,01/09/2019 20:00,5.4,0,,,0,,90,,0,Dry,1017,0,50,14,0,,3.9,
Loch Glascarnoch,01/09/2019 21:00,3.8,2,,,0,,93,,270,Dry,1017,1,50,0,0,,2.9,
Loch Glascarnoch,01/09/2019 22:00,4.8,2,,,0.2,,97,,290,Dry,1017,4,50,0,0,,4.4,
Loch Glascarnoch,01/09/2019 23:00,5.2,2,,,0,,93,,70,Rain,1017,3,50,0,0,,4.2,
Loch Glascarnoch,02/09/2019 00:00,4.7,2,,,0,0.2,95,,340,Dry,1017,3,50,,,,4,
Loch Glascarnoch,02/09/2019 01:00,7.3,2,,,0,,91,,40,Dry,1016,4,50,0,0,,6,
Loch Glascarnoch,02/09/2019 02:00,7.7,2,,,0,,90,,90,Dry,1016,7,45,0,0,,6.3,
Loch Glascarnoch,02/09/2019 03:00,8.5,7,,,0,,84,,230,Rain,1015,1,50,0,0,,6,
Loch Glascarnoch,02/09/2019 04:00,7.5,3,,,0,,82,,320,Dry,1014,4,50,0,0,,4.7,
Loch Glascarnoch,02/09/2019 05:00,8.3,6,,,0,,85,,230,Dry,1014,2,50,0,0,,6,
Loch Glascarnoch,02/09/2019 06:00,9.1,3,3,,0,0,82,,190,Dry,1013,8,45,7,0,,6.3,
Loch Glascarnoch,02/09/2019 07:00,9.9,3,,,0,,84,,170,Light rain,1012,6,24,65,0,,7.4,
Loch Glascarnoch,02/09/2019 08:00,8.7,9,,,0.6,,94,,100,Moderate rain,1012,8,8,172,0,,7.8,
Loch Glascarnoch,02/09/2019 09:00,8.9,9,,,0.6,,94,,110,Moderate rain,1011,8,7,387,0,,8,
Loch Glascarnoch,02/09/2019 10:00,10.1,8,,,1.4,,96,,90,Moderate rain,1009,7,5,379,0,,9.6,
Loch Glascarnoch,02/09/2019 11:00,13.2,12,,,1.2,,89,,230,Moderate rain,1008,8,8,547,0,,11.5,
Loch Glascarnoch,02/09/2019 12:00,13.8,17,,,0.8,5,84,32,240,Moderate rain,1007,2,4,933,0,,11.3,
Loch Glascarnoch,02/09/2019 13:00,14.3,10,,,0.6,,90,32,300,Light rain,1007,1,11,1239,0,,12.8,
Loch Glascarnoch,02/09/2019 14:00,13.6,13,,,0.4,,91,,300,Moderate rain,1007,8,6,881,0,,12.2,
Loch Glascarnoch,02/09/2019 15:00,13.6,13,,,2,,91,,290,Moderate rain,1006,1,5,404,0,,12.3,
Loch Glascarnoch,02/09/2019 16:00,13.9,16,,,0.4,,91,,290,Light shower,1006,1,10,637,0,,12.5,
Loch Glascarnoch,02/09/2019 17:00,13.2,15,,,0.2,,93,31,290,Rain,1007,8,5,505,0,,12.1,
Loch Glascarnoch,02/09/2019 18:00,12.9,14,,14.5,0.4,4,94,,300,Moderate shower,1007,1,5,225,0,,12.1,
Loch Glascarnoch,02/09/2019 19:00,12.4,14,,,2.6,,96,,290,Moderate rain,1008,8,4,58,0,,11.9,
Loch Glascarnoch,02/09/2019 20:00,12.1,17,,,0.6,,97,,300,Drizzly rain,1009,8,9,8,0,,11.7,
Loch Glascarnoch,02/09/2019 21:00,12.1,15,,,0.2,,96,,300,Moderate drizzle,1010,8,18,0,0,,11.5,
