Site,Date(UTC),Air Temp,Wind Speed,Min Temp,Max Temp,1Hr Precip,6Hr Precip,Rel Humidity,Wind Gust,Wind Direction,Weather,Pressure,Total Cloud,Visibility,Solar Rad,Sunshine,Snow Depth,Dew Point,OLE Temp
Aultby,01/09/2019 00:00,11.9,14,,,0,3,87,,260,Drizzly rain,1004,8,27,,,,9.9,
Aultby,01/09/2019 01:00,11.4,15,,,1.2,,93,,260,Moderate shower,1005,4,5,,,,10.4,
Aultby,01/09/2019 02:00,11.3,16,,,4.6,,95,29,280,Moderate rain,1006,8,6,,,,10.6,
Aultby,01/09/2019 03:00,10.7,12,,,4,,94,,280,Moderate rain,1007,8,8,,,,9.9,
Aultby,01/09/2019 04:00,11.2,14,,,0.4,,90,,290,Rain,1007,8,21,,,,9.7,
Aultby,01/09/2019 05:00,10.6,16,,,0.6,,90,,290,Rain,1008,3,30,,,,9.1,
Aultby,01/09/2019 06:00,10.9,15,10.3,,0,11,85,,300,Dry,1009,8,23,,,,8.6,
Aultby,01/09/2019 07:00,10.9,12,,,0.2,,82,,290,Rain,1010,2,30,,,,8.1,
Aultby,01/09/2019 08:00,11,9,,,0,,81,,300,Dry,1010,7,28,,,,8,
Aultby,01/09/2019 09:00,12,10,,,0,,80,,280,Dry,1011,7,27,,,,8.8,
Aultby,01/09/2019 10:00,12.3,9,,,0,,72,,280,Dry,1012,6,30,,,,7.5,
Aultby,01/09/2019 11:00,11,10,,,0.2,,83,,290,Moderate shower,1013,7,4,,,,8.4,
Aultby,01/09/2019 12:00,13.2,7,,,0.2,0.6,76,,280,Rain,1013,4,40,,,,9.2,
Aultby,01/09/2019 13:00,11.3,12,,,0,,76,,280,Light shower,1014,8,19,,,,7.3,
Aultby,01/09/2019 14:00,11.4,6,,,1.2,,86,,290,Drizzly rain,1014,2,26,,,,9.2,
Aultby,01/09/2019 15:00,13.9,6,,,0,,67,,250,Rain,1014,1,45,,,,7.9,
Aultby,01/09/2019 16:00,13.7,7,,,0,,63,,230,Dry,1014,6,50,,,,7,
Aultby,01/09/2019 17:00,13.9,9,,,0,,71,,230,Rain,1015,7,45,,,,8.8,
Aultby,01/09/2019 18:00,12.9,7,,14.1,0,1.4,76,,230,Dry,1015,7,29,,,,8.9,
Aultby,01/09/2019 19:00,12,7,,,0,,78,,240,Dry,1015,0,28,,,,8.4,
Aultby,01/09/2019 20:00,10.7,8,,,0,,86,,220,Dry,1016,1,40,,,,8.5,
Aultby,01/09/2019 21:00,10.7,9,,,0,,85,,210,Dry,1016,0,35,,,,8.3,
Aultby,01/09/2019 22:00,11.2,10,,,0,,82,,210,Dry,1016,7,40,,,,8.4,
Aultby,01/09/2019 23:00,10.9,10,,,0,,85,,190,Dry,1015,7,30,,,,8.6,
Aultby,02/09/2019 00:00,10.8,10,,,0,0,81,,190,Dry,1015,2,45,,,,7.7,
Aultby,02/09/2019 01:00,10.5,15,,,0,,89,,190,Rain,1015,8,29,,,,8.9,
Aultby,02/09/2019 02:00,10.4,12,,,0,,91,,180,Dry,1015,4,50,,,,9,
Aultby,02/09/2019 03:00,10.9,15,,,0,,84,,180,Dry,1014,5,50,,,,8.4,
Aultby,02/09/2019 04:00,11.4,14,,,0,,85,,190,Dry,1013,7,45,,,,9,
