ID,Name,lat,lon,Route,Forecast area
3034,Aultby,57.86,-5.63,Scotland,Perth
3080,Aboyne,57.08,-2.83,Scotland,Perth
3062,Tain Range,57.81,-3.96,Scotland,Perth
3031,Loch Glascarnoch,57.71,-4.9,Scotland,Perth
3075,Wick,58.45,-3.08,Scotland,Perth
99117,Cluanie,57.0936,-5.1104,Scotland,Perth
99153,Elphin,58.0195,-5.01032,Scotland,Perth
3026,Stornoway Airport,58.21,-6.31,Scotland,Perth
99003,Cassley,58.16,-4.73,Scotland,Perth
3068,Lossiemouth,57.71,-3.31,Scotland,Perth
3044,Altnaharra,58.28,-4.43,Scotland,Perth
99016,Kinbrace,58.23,-3.91,Scotland,Perth
3091,Aberdeen,57.21,-2.2,Scotland,Perth
99133,Craibstone,57.1122,-2.1278,Scotland,Perth
3023,South Uist Range,57.36,-7.4,Scotland,Perth
90079,Dundee Riverside,56.45,-3.03,Scotland,Perth
3066,Kinloss,57.65,-3.56,Scotland,Perth
99089,Braemar,57.01,-3.4,Scotland,Perth
3037,Skye Lusa,57.26,-5.81,Scotland,Perth
99010,Fyvie Castle,57.45,-2.38,Scotland,Perth
3088,Inverbervie,56.85,-2.26,Scotland,Perth
3111,Machrihanish,55.43,-5.7,Scotland,Glasgow
99191,Dunstaffnage,57.1816,-5.37346,Scotland,Glasgow
99006,Corrour,56.45,-5.43,Scotland,Glasgow
3105,"Islay, Port Ellen",55.68,-6.26,Scotland,Glasgow
3136,Prestwick Gannet,55.51,-4.58,Scotland,Glasgow
99020,Tyndrum,56.41,-4.65,Scotland,Glasgow
3100,Tiree,56.5,-6.88,Scotland,Glasgow
3134,Glasgow,55.91,-4.53,Scotland,Glasgow
99125,Lentran,57.28,-4.22,Scotland,Highland
99005,Dalwhinnie,56.93,-4.23,Scotland,Highland
3047,Tulloch Bridge,56.86,-4.71,Scotland,Highland
99132,Drumnadrochit,57.1973,-4.2895,Scotland,Highland
3063,Aviemore,57.21,-3.83,Scotland,Highland
3162,Eskdalemuir,55.31,-3.21,Scotland,Motherwell
99090,Threave,54.93,-3.95,Scotland,Motherwell
3132,West Freugh,54.86,-4.93,Scotland,Motherwell
3220,Carlisle,54.93,-2.96,Scotland,Motherwell
3155,Drumalbin,55.63,-3.73,Scotland,Motherwell
99088,Auchincruive,55.46,-4.56,Scotland,Motherwell
3171,Leuchars,56.38,-2.86,Scotland,Edinburgh
3144,Strathallan,56.33,-3.73,Scotland,Edinburgh
3240,Boulmer,55.41,-1.6,Scotland,Edinburgh
99024,Salsburgh,55.86,-3.86,Scotland,Edinburgh
99180,Edinburgh Royal Gardens,55.9644,-3.21456,Scotland,Edinburgh
3166,Edinburgh Gogarbank,55.93,-3.33,Scotland,Edinburgh
3158,Charterhall,55.71,-2.38,Scotland,Edinburgh
3220,Carlisle,54.93,-2.96,Scotland,Cumbria
